sketch,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f15
3_square_ego,-0.19611613513818404,0.9805806756909202,348.1838594765702,0.8260262010788214,331.00151057057127,0.691839742982611,0.7220510854709346,1376.810221610026,-6.283185307179586,70.13083304448102,83.35766577728808,66587632.07776045,2.857560157775879,4.159528514648524
3_a_ego,-0.27472112789737807,-0.9615239476408232,265.04716561397146,0.946160904023283,152.81688388394784,0.8637789008984335,-0.5038710255240862,729.1845058307426,-1.892546881191539,24.667973184525067,23.60114429222552,156243335.58882156,3.7859902381896973,4.771622659080654
3_b_ego,-0.3713906763541037,0.9284766908852594,290.6165858997039,1.0563450137358688,245.0081631293129,0.008162993324203732,0.9999666822149571,1132.06959179952,-2.81984209919315,34.799347403011595,32.36873671532673,66503697.9104343,1.238497018814087,4.620538260196763
3_c_ego,-0.5547001962252291,-0.8320502943378437,292.20027378495047,0.9286641425400769,190.21303845951255,0.047315368456803654,0.9988800007547438,485.93047872491456,5.176036589385495,23.447597595936735,13.125533837740427,169284956.1760921,0.5634450912475586,2.5546644050289244
3_circle_ego,-0.7071067811865475,-0.7071067811865475,116.69190203266035,0.8035779784704266,18.35755975068582,-0.8715755371245493,0.49026123963255896,300.0248046744661,8.63937979737193,56.27652038334334,44.07484661676651,24036973.322365236,1.0252041816711426,16.343392517802236
3_rectangular_ego,-0.4472135954999579,0.8944271909999159,431.2957222138889,0.4926850881734512,415.9326868617084,0.8991839588802252,0.437570803519254,1686.4039563480721,-8.961130351768574,71.59805742109914,73.81434466318078,78300245.88481191,3.396063804626465,4.054511726578433
3_tra_ego,,,317.81913095344026,0.8901586470216523,9.848857801796104,-0.40613846605344767,0.9138115486202573,751.3219690595489,12.566370614359172,292.13191879807056,342.37069355901787,36710003.10799726,3.5692379474639893,76.28518800652526
3_horizontal_ego,0.7071067811865475,0.7071067811865475,87.36704184073076,0.09169615625986302,87.28115489611719,0.9967787445474132,-0.0802005886417459,93.53663105724556,1.5707963267948966,20.060645248748706,25.963825634716386,24008900.94715696,0.7428169250488281,1.0716704100509864
3_star_ego,-0.9486832980505138,-0.31622776601683794,299.482887658043,0.8705001770867613,16.64331697709324,-0.5407575913134987,0.8411784753765535,1117.2583904657931,-6.604935861576229,155.20374602393815,138.10823235703316,37878091.50527541,2.298140048980713,67.12955067811986
3_horizontal,1.0,0.0,282.398654387729,0.053141408844935456,282.29948636155893,0.9989391182909367,0.0460503848857524,284.71950256103383,-2.220446049250313e-16,13.493665832360783,5.869732505348155,350609575.18367344,0.5317749977111816,1.008572513647352
3_c,-0.8320502943378437,-0.5547001962252291,241.17421089328766,0.7648731868631921,112.6809655620682,0.5236021869860616,0.8519628805196935,415.87847138135106,5.176036589385496,27.99267069998116,11.114607924779396,293880113.4460572,0.5703248977661133,3.69076062941857
3_b,-0.4472135954999579,0.8944271909999159,221.92341021172146,1.0365591279752169,169.23947530053383,0.0531790823861743,0.9985849914737175,845.3366837927628,-7.068583470577034,61.66886871355006,55.609145450946464,81319937.52416876,1.4388010501861572,4.994914350163413
3_circle,-0.7071067811865475,-0.7071067811865475,285.1613578309656,0.7481944939279291,29.274562336608895,-0.9906211292434748,-0.13663739713703102,687.1466728447983,7.53223107957784,96.02932947839379,60.77996945063343,49983410.196360104,1.4446728229522705,23.472483207221057
